Country,State,County,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
GB,Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,-1,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0
GD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,9,2,0,9,0,1,5,3,0,1,4,2,3,6,5,7,9,5,4,4,7,1,12,7,7,17,21,7,12,14,8,15,7,16,8,15,15,28,6,42,22,18,6,0
GH,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,4,5,3,4,4,26,40,39,5,4,11,0,9,34,9,1,0,9,0,73,26,65,0,30,158,0,70,0,5,0,193,208,0
GM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
GN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,8,6,0,8,22,21,38,10,7,16,20,30,18,38,0,69,44,41,34,39,41,61,0
GQ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,3,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,3,0,20,10,0,28,0,0,0
GR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,2,22,14,1,27,0,16,10,0,91,38,103,0,56,31,0,77,35,94,71,48,78,71,74,95,95,56,102,101,129,69,60,62,20,77,52,71,56,70,33,31,25,22,15,17,11,0,0
GT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,3,5,2,1,1,3,1,3,6,0,2,2,1,8,3,11,0,9,7,10,8,31,11,18,1,11,13,16,18,21,22,32
GW,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,6,3,0,0,15,0,3,0,2,0,0,0,5,0,0,3,4,0
GY,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,12,1,-15,0,0,0,3,0,0,4,7,0,4,0,1,7,2,4,0,0,8,0,0,2,8,0,8,0,2,0
HN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,2,1,3,12,0,2,4,0,6,16,16,27,15,29,2,31,47,3,42,4,30,7,7,31,39,10,1,4,10,12,7,16,15,15,5
HR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,2,1,0,1,1,0,0,2,5,0,13,6,11,8,8,16,24,23,78,48,61,67,60,53,91,71,56,77,77,96,48,68,47,56,40,60,61,64,88,39,66,50,54,37,50,23,18,39,0
HT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,7,0,0,1,0,2,2,1,3,1,2,3,1,2,0,7,0,1,0,2,1,3,0
HU,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,2,0,4,0,6,11,2,7,11,8,15,12,18,28,36,20,39,35,39,43,65,39,45,33,60,38,55,55,11,73,78,85,210,120,100,48,54,67,73,111,71,82,68
ID,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,13,8,7,0,35,27,21,17,38,55,84,58,81,64,65,107,104,103,153,109,130,129,114,149,113,196,106,181,218,247,218,337,219,330,399,316,282,297,380,407,325,327,0
IE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,12,0,1,2,13,9,0,47,39,0,40,54,69,265,126,102,121,219,204,235,255,302,294,200,295,325,212,402,424,331,390,370,345,365,500,1515,839,727,992,832,1068,724,709,778,493,0
IL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,3,0,2,3,5,17,6,18,0,14,4,21,26,29,58,5,32,54,123,102,183,171,188,167,1131,324,342,584,628,448,663,734,765,571,423,579,474,344,156,564,440,335,402,441,460,455,257,224,283,226,163
IN,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,2,1,3,5,4,13,6,11,9,20,11,6,23,14,38,50,86,66,103,37,121,70,160,100,37,227,146,601,545,24,515,506,1190,533,605,809,873,848,759,1248,1034,835,1108,922,1370,1893,0
IQ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,6,6,7,6,3,0,5,14,6,0,11,0,0,30,9,6,8,30,10,28,16,6,19,33,50,30,36,76,48,41,83,64,34,44,48,58,83,70,91,80,30,47,39,34,26,22,15,19,48,31,26,0
IR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,10,15,18,34,44,106,143,205,385,523,835,586,591,1234,1076,743,595,881,958,1075,1289,1365,1209,1053,1178,1192,1046,1237,966,1028,1411,1762,2206,2389,2926,3076,2901,3186,3110,2988,2875,2715,2560,2483,2274,2089,1997,1634,1972,1837,1657,1617,1574,1512,1606,1499,1374,1343,0
IS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,15,8,9,7,0,8,11,16,18,31,22,15,9,40,30,80,79,64,95,20,60,89,65,88,73,57,66,49,85,99,45,53,69,76,24,30,32,27,14,12,10,9,7,12,15,6,11,0
IT,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,42,93,74,93,131,202,233,240,566,342,466,587,769,778,1247,1492,1797,977,2313,0,5198,3497,3590,3233,3526,4207,5322,5986,6557,5560,4789,5249,5210,6203,5909,5974,5217,4050,4053,4782,4668,4585,4805,4316,3599,3039,3836,4204,3951,4694,4092,3153,2972,2667,3786,3493,3491,3047,0
JM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,2,0,2,1,2,1,0,3,0,2,5,0,0,4,2,4,0,8,3,0,6,5,0,5,0,0,0,2,4,4,0,52,18,0,20,10,23
JO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,9,17,18,17,16,0,27,15,27,18,40,23,11,13,9,6,4,21,11,13,22,4,4,5,14,0,9,8,2,6,4,1,5,6,4,0
JP,,,2,0,0,0,2,0,3,0,4,4,5,0,0,2,0,0,3,0,1,0,0,2,0,1,14,16,7,8,10,10,11,17,25,12,11,19,25,14,13,15,18,19,38,29,60,41,41,9,70,58,0,62,72,66,0,39,11,35,39,44,94,27,65,114,80,81,225,173,0,87,225,317,122,522,0,515,252,351,410,863,475,743,622,275,455,526,1161,509,501,0
KE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,8,1,9,3,3,0,7,4,8,9,22,29,12,4,16,16,14,7,5,5,2,6,11,8,9,9,12,16,8,0
KG,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,2,26,2,0,14,0,26,10,13,4,5,14,14,3,69,12,42,10,18,41,38,42,11,19,17,23,17,48,14
KH,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,26,2,2,14,2,31,3,4,5,0,3,0,4,4,2,0,1,4,0,0,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0
KN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1
KR,,,1,0,1,0,1,1,0,0,0,7,1,3,0,1,3,4,1,0,1,2,1,0,0,0,0,1,1,1,0,73,100,229,169,231,144,284,505,571,813,586,599,851,435,467,505,448,273,164,35,242,114,110,107,76,74,84,93,152,87,147,162,0,76,100,104,91,146,105,78,125,101,89,86,94,81,47,47,53,39,27,30,32,25,27,27,22,22,18,8,13
KW,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,15,17,2,0,0,11,0,0,2,0,3,3,0,5,3,8,0,24,8,11,7,12,6,11,17,12,1,2,4,13,17,10,20,11,23,28,25,75,62,77,109,78,112,55,83,161,80,66,55,50,119,134,93,164,0
KZ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,23,2,9,5,4,7,2,10,9,30,39,78,56,18,41,37,55,29,67,53,78,35,30,54,31,53,86,140,141,63,107,144,69,61,81
LA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,0,0,1,1,0,0,0,1,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0
LB,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,3,0,0,3,6,0,10,0,9,20,0,16,16,17,0,10,13,24,6,24,61,19,51,15,35,23,21,26,8,24,9,15,14,12,7,14,7,28,6,27,10,11,2,9,17,5,5,4,1,0
LC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,21,0,0,9,0,14,0,0,5,0,0,0,6,6,0,7,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
LK,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,8,10,16,7,9,13,4,5,15,5,0,4,0,7,4,5,21,3,5,8,7,10,2,7,4,1,0,8,12,7,16,5,0,6,10,17,24
LR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3,1,0,17,0,6,11,2,9,0,0,0,17,0,15,0
LT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,5,8,2,9,13,34,60,36,30,65,25,59,36,66,31,46,44,68,47,75,40,32,37,32,43,44,27,27,9,8,21,37,21,90,59,28
LU,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,12,15,17,8,18,63,63,132,149,186,128,77,224,234,120,152,226,119,38,190,141,168,125,117,75,39,127,64,81,108,47,11,11,15,66,71,36,57,13,0
LV,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,2,0,7,9,4,4,15,22,15,25,13,15,41,17,24,23,36,25,42,29,22,48,12,35,16,24,9,6,29,12,23,18,21,4,2,9,9,7,30,15,12
LY,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,2,0,1,0,7,0,1,1,1,3,0,0,1,1,9,13,1,0,0,2,0
MA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,10,11,1,9,11,14,14,19,19,28,27,55,50,70,57,77,77,61,37,54,83,128,102,99,64,91,99,74,97,116,102,125,136,259,281,121,170,0
MC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,12,0,0,8,2,9,0,4,3,3,3,5,4,2,7,4,2,2,3,6,2,1,0,0,0,0,1,0,0,0
MD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,6,11,0,7,0,19,17,14,14,15,16,24,28,22,32,32,35,55,70,82,86,161,112,101,91,118,115,149,122,102,50,222,115,105,110,114,94,0
ME,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,0,7,6,20,5,17,13,2,1,6,18,14,21,30,27,13,19,8,7,4,3,8,9,2,9,5,15,0,4,1,3
MG,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,5,2,4,3,0,13,4,14,0,2,11,0,2,10,6,5,0,0,9,4,0,2,2,1,6,3,1,0
MK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,7,0,0,4,8,9,13,19,18,30,21,12,29,24,18,22,18,26,44,25,30,46,53,72,15,29,18,46,48,49,68,26,54,66,107,36,53,37,0
ML,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,0,7,3,3,5,3,2,4,2,9,3,15,13,0,18,18,21,4,23,0,45,8,0
MM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,1,0,5,0,1,0,1,0,0,1,4,11,3,21,1,11,11,3,10,13,0
MN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,13,0,1,0,0,1,1
MR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,6,6,3,9,8,0,15,11,9,17,17,3,19,5,5,10,2,5,13,19,8,6,11,14,14,52,6,38,13,20,8,6,9,6,13,10,4,1,0
MU,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,2,14,8,6,6,33,13,8,5,21,15,18,8,17,10,31,17,24,5,41,4,1,5,0,0,0,0,0,1,3,0
MV,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,7,17,0
MW,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,3,0,0,1,3,1,3,0,0,0,1,0,0,0
MX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,1,0,0,1,4,0,14,15,12,29,11,25,46,39,48,65,51,38,70,110,132,131,145,101,121,163,132,178,202,253,296,346,396,260,403,375,442,353,385,448,450,578,622,764
MY,,,0,0,0,3,1,0,0,3,1,0,0,0,0,2,2,0,0,4,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,7,14,0,33,10,6,18,12,20,0,48,41,190,138,107,117,110,130,153,123,212,106,172,235,130,159,150,156,140,142,208,217,150,179,131,170,156,109,118,184,153,134,170,85,110,69,54,84,0
MZ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,1,0,0,0,2,0,0,0,0,0,0,7,0,3,0,1,0,7,1,2,3,1,4,0
NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,3,0,1,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,3,0,0,8,9,0,47,24,22,24,40,69,25,64,68,28,53,38,0,41,14,0,43,12,9,0
NG,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,4,10,8,10,4,7,14,5,19,22,20,4,39,10,26,4,18,6,16,22,12,17,13,5,20,30,34,35,51,49,85,0
NI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
